"x_a","x_b","e_star_a","e_star_b","e_hat_a","e_hat_b","e_a_star","npv_a_star","npv_b_star","npv_a_hat","npv_b_hat","V_star","WTP_A","WTA_B","accept"
33.4,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6513176938217,-1193.01163154037,7634.41406898306,2440.31976750811,10312.6983574245,1907.67367979478,532.646087713335,10312.6983574245,FALSE
33.4,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054947743,-1193.01163154037,9841.27049411392,2440.31976750811,12519.5547825554,1897.57007138465,542.74969612346,12519.5547825554,FALSE
33.4,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.998009027823,-1193.01163154037,12048.1269192448,2440.31976750811,14726.4112076862,1883.33754739222,556.982220115892,14726.4112076862,FALSE
44.5,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,40.3477308675585,1013.84479359049,-7813.58090693294,4647.17619263897,-5135.29661849149,1741.97710625458,2905.19908638439,-5135.29661849149,TRUE
44.5,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516513014406,1013.84479359049,-5606.72448180208,4647.17619263897,-2928.44019336063,1859.31666214023,2787.85953049874,-2928.44019336063,TRUE
44.5,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.2718762922248,1013.84479359049,-3399.86805667122,4647.17619263897,-721.583768229773,1930.36149039697,2716.814702242,-721.583768229773,TRUE
44.5,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026720914,1013.84479359049,-1193.01163154036,4647.17619263897,1485.27265690108,1974.87415334012,2672.30203929885,1485.27265690108,TRUE
44.5,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026728257,1013.84479359049,1013.84479359049,4647.17619263897,3692.12908203194,2001.3722952709,2645.80389736807,3692.12908203194,FALSE
44.5,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594602071291,1013.84479359049,3220.70121872135,4647.17619263897,5898.9855071628,2015.05178361866,2632.12440902031,5898.9855071628,FALSE
44.5,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.8245736486791,1013.84479359049,5427.5576438522,4647.17619263897,8105.84193229365,2020.13227197135,2627.04392066762,8105.84193229365,FALSE
44.5,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6518847900032,1013.84479359049,7634.41406898306,4647.17619263897,10312.6983574245,2018.67369049502,2628.50250214395,10312.6983574245,FALSE
44.5,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054932654,1013.84479359049,9841.27049411392,4647.17619263897,12519.5547825554,2008.57007138465,2638.60612125432,12519.5547825554,FALSE
44.5,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090276583,1013.84479359049,12048.1269192448,4647.17619263897,14726.4112076862,1994.33754739222,2652.83864524675,14726.4112076862,FALSE
55.6,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,40.3477307684563,3220.70121872135,-7813.58090693294,6854.03261776983,-5135.29661849149,1852.97710625458,5001.05551151524,-5135.29661849149,TRUE
55.6,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516512942563,3220.70121872135,-5606.72448180208,6854.03261776983,-2928.44019336063,1970.31666214023,4883.7159556296,-2928.44019336063,TRUE
55.6,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.2718762834777,3220.70121872135,-3399.86805667122,6854.03261776983,-721.583768229773,2041.36149039697,4812.67112737286,-721.583768229773,TRUE
55.6,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026714712,3220.70121872135,-1193.01163154036,6854.03261776983,1485.27265690108,2085.87415334012,4768.1584644297,1485.27265690108,TRUE
55.6,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026737513,3220.70121872135,1013.84479359049,6854.03261776983,3692.12908203194,2112.3722952709,4741.66032249892,3692.12908203194,TRUE
55.6,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594602102868,3220.70121872135,3220.70121872135,6854.03261776983,5898.9855071628,2126.05178361866,4727.98083415117,5898.9855071628,FALSE
55.6,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.8245739214536,3220.70121872135,5427.5576438522,6854.03261776983,8105.84193229365,2131.13227197135,4722.90034579847,8105.84193229365,FALSE
55.6,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6515950132732,3220.70121872135,7634.41406898306,6854.03261776983,10312.6983574245,2129.67368503176,4724.35893273807,10312.6983574245,FALSE
55.6,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054942814,3220.70121872135,9841.27049411392,6854.03261776983,12519.5547825554,2119.57007138465,4734.46254638517,12519.5547825554,FALSE
55.6,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090293331,3220.70121872135,12048.1269192448,6854.03261776983,14726.4112076862,2105.33754739222,4748.69507037761,14726.4112076862,FALSE
